Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee
2019-07-05,18:00 (12:00),Africa Cup of Nations,Round of 16,Fri,Neutral,D,1 (1),1 (4),bj Benin,,,67,,M'barek Boussoufa,4-2-3-1,Hélder Martins
2019-09-06,20:00 (15:00),Friendlies (M),Friendlies (M),Fri,Home,D,1,1,bf Burkina Faso,,,,,Nabil Dirar,4-2-3-1,Alioum Alioum
2019-09-10,20:00 (15:00),Friendlies (M),Friendlies (M),Tue,Home,W,1,0,ne Niger,,,,,Adel Taarabt,4-2-3-1,Hélder Martins
2019-10-11,19:00 (14:00),Friendlies (M),Friendlies (M),Fri,Home,D,1,1,ly Libya,,,,,Yunis Abdelhamid,4-2-3-1,Jean-Jacques Ndala
2019-10-15,20:00 (15:00),Friendlies (M),Friendlies (M),Tue,Home,L,2,3,ga Gabon,,,,,Nordin Amrabat,4-1-4-1,Issa Sy
2019-11-15,20:00 (14:00),Africa Cup of Nations qualification,Group stage,Fri,Home,D,0,0,mr Mauritania,,,,,Hakim Ziyech,4-2-3-1,Louis Hakizimana
2019-11-19,15:00 (08:00),Africa Cup of Nations qualification,Group stage,Tue,Away,W,3,0,bi Burundi,,,,,Romain Saïss,4-2-2-2,Maguette Ndiaye
2015-11-12,19:00 (14:00),WCQ,Second round,Thu,Home,W,2,0,gq Equ. Guinea,,,,,Medhi Benatia,,Daniel Bennett
2015-11-15,16:00 (10:00),WCQ,Second round,Sun,Away,L,0,1,gq Equ. Guinea,,,,,Medhi Benatia,,Janny Sikazwe
2016-10-08,16:00 (11:00),WCQ,Third round,Sat,Away,D,0,0,ga Gabon,,,,,Manuel da Costa,,Hamada Nampiandraza
2016-11-12,20:00 (15:00),WCQ,Third round,Sat,Home,D,0,0,ci Côte d'Ivoire,,,,,Medhi Benatia,,Bernard Camille
2017-09-01,21:00 (16:00),WCQ,Third round,Fri,Home,W,6,0,ml Mali,,,,,Medhi Benatia,,Alioum Alioum
2017-09-05,19:00 (15:00),WCQ,Third round,Tue,Away,D,0,0,ml Mali,,,,,Medhi Benatia,,Hamada Nampiandraza
2017-10-07,20:00 (15:00),WCQ,Third round,Sat,Home,W,3,0,ga Gabon,,,,,Medhi Benatia,,Victor Gomes
2017-11-11,17:30 (12:30),WCQ,Third round,Sat,Away,W,2,0,ci Côte d'Ivoire,,,,,Medhi Benatia,,Bakary Papa Gassama
2018-03-23,20:30 (15:30),Friendlies (M),Friendlies (M),Fri,Home,W,2,1,rs Serbia,,,,"15,700",Medhi Benatia,4-2-3-1,Marco Guida
2018-03-27,20:00 (15:00),Friendlies (M),Friendlies (M),Tue,Home,W,2,0,uz Uzbekistan,,,,"15,000",Manuel da Costa,4-1-4-1,Maguette Ndiaye
2018-05-31,20:00 (14:00),Friendlies (M),Friendlies (M),Thu,Home,D,0,0,ua Ukraine,,,,,Medhi Benatia,3-4-3,Sandro Schärer
2018-06-04,20:00 (14:00),Friendlies (M),Friendlies (M),Mon,Home,W,2,1,sk Slovakia,,,,"7,000",Medhi Benatia,3-4-3,Lionel Tschudi
2018-06-09,19:00 (12:00),Friendlies (M),Friendlies (M),Sat,Away,W,3,1,ee Estonia,,,,"4,756",Medhi Benatia,4-2-3-1,Marius Avram
2018-06-15,18:00 (11:00),FIFA World Cup,Group stage,Fri,Neutral,L,0,1,ir IR Iran,0.7,1.0,66,"62,548",Medhi Benatia,4-2-3-1,Cüneyt Çakιr
2018-06-20,15:00 (08:00),FIFA World Cup,Group stage,Wed,Neutral,L,0,1,pt Portugal,0.9,1.2,55,"78,011",Medhi Benatia,4-2-3-1,Mark Geiger
2018-06-25,20:00 (14:00),FIFA World Cup,Group stage,Mon,Neutral,D,2,2,es Spain,1.2,2.9,25,"33,973",M'barek Boussoufa,4-1-4-1,Ravshan Irmatov
2018-09-08,21:00 (16:00),Africa Cup of Nations qualification,Group stage,Sat,Home,W,3,0,mw Malawi,,,,,Karim El Ahmadi,4-1-4-1,Jean-Jacques Ndala
2018-10-13,19:00 (14:00),Africa Cup of Nations qualification,Group stage,Sat,Home,W,1,0,km Comoros,,,,,M'barek Boussoufa,4-2-3-1,Bouchaab Lemghaifry
2018-10-16,15:00 (08:00),Africa Cup of Nations qualification,Group stage,Tue,Away,D,2,2,km Comoros,,,,,Karim El Ahmadi,4-2-3-1,Davies Omweno
2018-11-16,20:00 (14:00),Africa Cup of Nations qualification,Group stage,Fri,Home,W,2,0,cm Cameroon,,,,,Medhi Benatia,4-2-3-1,Eric Otogo-Castane
2018-11-20,18:00 (12:00),Friendlies (M),Friendlies (M),Tue,Away,W,1,0,tn Tunisia,,,,,Medhi Benatia,4-4-2,Ibrahim Nour El Din
2015-06-12,20:00 (15:00),Africa Cup of Nations qualification,Group stage,Fri,Home,W,1,0,ly Libya,,,,,Houssine Kharja,4-2-2-2,William Agbovi
2015-09-05,15:30 (11:30),Africa Cup of Nations qualification,Group stage,Sat,Away,W,3,0,st São Tomé,,,,,Issam El Adoua,4-2-3-1,João Amado Goma
2016-03-26,16:00 (13:00),Africa Cup of Nations qualification,Group stage,Sat,Away,W,1,0,cv Cape Verde,,,,,Manuel da Costa,4-2-3-1,Alioum Alioum
2016-03-29,20:00 (15:00),Africa Cup of Nations qualification,Group stage,Tue,Home,W,2,0,cv Cape Verde,,,,,Munir,4-2-3-1,Mahamadou Keita
2016-06-03,19:00 (14:00),Africa Cup of Nations qualification,Group stage,Fri,Away,D,1,1,ly Libya,,,,,Medhi Benatia,4-2-3-1,Youssef Essrairi
2016-09-04,20:00 (15:00),Africa Cup of Nations qualification,Group stage,Sun,Home,W,2,0,st São Tomé,,,,,Manuel da Costa,4-5-1,Fidel Gomes
