Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee
2020-11-11,20:45 (14:45),Friendlies (M),Friendlies (M),Wed,Away,L,1,2,be Belgium,,,,,Granit Xhaka,3-4-1-2,Jérôme Brisard
2020-11-14,20:45 (14:45),UEFA Nations League,League A,Sat,Home,D,1,1,es Spain,,,29,,Granit Xhaka,4-4-1-1,William Collum
2020-11-17,20:45 (14:45),UEFA Nations League,League A,Tue,Home,W,3,0,ua Ukraine,,,,,,,
2021-03-25,19:00 (13:00),WCQ,First round,Thu,Away,W,3,1,bg Bulgaria,,,70,,Granit Xhaka,3-4-1-2,Nikola Dabanović
2021-03-28,20:45 (14:45),WCQ,First round,Sun,Home,W,1,0,lt Lithuania,,,69,,Granit Xhaka,3-4-1-2,Mattias Gestranius
2021-03-31,20:45 (14:45),Friendlies (M),Friendlies (M),Wed,Home,W,3,2,fi Finland,,,,,Xherdan Shaqiri,3-4-3,Manuel Schüttengruber
2021-05-30,20:15 (14:15),Friendlies (M),Friendlies (M),Sun,Home,W,2,1,us United States,,,,,Granit Xhaka,3-4-3,Harm Osmers
2021-06-03,18:00 (12:00),Friendlies (M),Friendlies (M),Thu,Home,W,7,0,li Liechtenstein,,,,,Xherdan Shaqiri,3-4-3,Nejc Kajtazovič
2021-06-12,17:00 (09:00),UEFA Euro,Group stage,Sat,Neutral,D,1,1,wls Wales,,,64,"8,782",Granit Xhaka,3-4-1-2,Clément Turpin
2021-06-16,21:00 (15:00),UEFA Euro,Group stage,Wed,Neutral,L,0,3,it Italy,,,51,"12,445",Granit Xhaka,3-4-1-2,Sergey Karasev
2021-06-20,20:00 (12:00),UEFA Euro,Group stage,Sun,Neutral,W,3,1,tr Türkiye,,,51,"17,138",Granit Xhaka,3-4-1-2,Slavko Vinčič
2021-06-28,22:00 (15:00),UEFA Euro,Round of 16,Mon,Neutral,D,3 (5),3 (4),fr France,,,46,"22,642",Granit Xhaka,3-4-1-2,Fernando Rapallini
2019-03-23,18:00 (10:00),UEFA Euro Qualifying,Group stage,Sat,Away,W,2,0,ge Georgia,,,64,"49,207",Stephan Lichtsteiner,4-4-1-1,Craig Pawson
2019-03-26,20:45 (15:45),UEFA Euro Qualifying,Group stage,Tue,Home,D,3,3,dk Denmark,,,55,"18,352",Granit Xhaka,4-3-3,Damir Skomina
2019-09-05,19:45 (14:45),UEFA Euro Qualifying,Group stage,Thu,Away,D,1,1,ie Rep. of Ireland,,,59,"44,111",Granit Xhaka,3-4-3,Carlos del Cerro
2019-09-08,18:00 (12:00),UEFA Euro Qualifying,Group stage,Sun,Home,W,4,0,gi Gibraltar,,,77,"8,318",Granit Xhaka,3-4-3,Pavel Orel
2019-10-12,18:00 (12:00),UEFA Euro Qualifying,Group stage,Sat,Away,L,0,1,dk Denmark,,,53,"35,964",Stephan Lichtsteiner,3-4-3,Aliaksei Kulbakou
2019-10-15,20:45 (14:45),UEFA Euro Qualifying,Group stage,Tue,Home,W,2,0,ie Rep. of Ireland,,,56,"24,766",Stephan Lichtsteiner,3-4-3,Szymon Marciniak
2019-11-15,20:45 (14:45),UEFA Euro Qualifying,Group stage,Fri,Home,W,1,0,ge Georgia,,,68,"16,400",Stephan Lichtsteiner,5-4-1,Danny Makkelie
2019-11-18,20:45 (14:45),UEFA Euro Qualifying,Group stage,Mon,Away,W,6,1,gi Gibraltar,,,75,"2,079",Granit Xhaka,3-4-3,Benoît Millot
2021-03-25,19:00 (13:00),WCQ,First round,Thu,Away,W,3,1,bg Bulgaria,,,70,,Granit Xhaka,3-4-1-2,Nikola Dabanović
2021-03-28,20:45 (14:45),WCQ,First round,Sun,Home,W,1,0,lt Lithuania,,,69,,Granit Xhaka,3-4-1-2,Mattias Gestranius
2021-03-31,20:45 (14:45),Friendlies (M),Friendlies (M),Wed,Home,W,3,2,fi Finland,,,,,Xherdan Shaqiri,3-4-3,Manuel Schüttengruber
2021-05-30,20:15 (14:15),Friendlies (M),Friendlies (M),Sun,Home,W,2,1,us United States,,,,,Granit Xhaka,3-4-3,Harm Osmers
2021-06-03,18:00 (12:00),Friendlies (M),Friendlies (M),Thu,Home,W,7,0,li Liechtenstein,,,,,Xherdan Shaqiri,3-4-3,Nejc Kajtazovič
2021-06-12,17:00 (09:00),UEFA Euro,Group stage,Sat,Neutral,D,1,1,wls Wales,2.1,0.4,64,"8,782",Granit Xhaka,3-4-1-2,Clément Turpin
2021-06-16,21:00 (15:00),UEFA Euro,Group stage,Wed,Neutral,L,0,3,it Italy,0.2,2.7,51,"12,445",Granit Xhaka,3-4-1-2,Sergey Karasev
2021-06-20,20:00 (12:00),UEFA Euro,Group stage,Sun,Neutral,W,3,1,tr Türkiye,2.1,1.2,51,"17,138",Granit Xhaka,3-4-1-2,Slavko Vinčič
2021-06-28,22:00 (15:00),UEFA Euro,Round of 16,Mon,Neutral,D,3 (5),3 (4),fr France,1.9,3.4,46,"22,642",Granit Xhaka,3-4-1-2,Fernando Rapallini
2021-07-02,19:00 (12:00),UEFA Euro,Quarter-finals,Fri,Home,D,1 (1),1 (3),es Spain,0.8,2.9,28,"24,764",Xherdan Shaqiri,4-2-3-1,Michael Oliver
2021-09-01,20:45 (14:45),Friendlies (M),Friendlies (M),Wed,Home,W,2,1,gr Greece,,,,,Ricardo Rodríguez,3-4-3,Antti Munukka
2021-09-05,20:45 (14:45),WCQ,First round,Sun,Home,D,0,0,it Italy,,,48,"31,500",Yann Sommer,4-3-2-1,Carlos del Cerro
2021-09-08,19:45 (14:45),WCQ,First round,Wed,Away,D,0,0,nir Northern Ireland,,,75,"15,660",Yann Sommer,4-3-2-1,Harald Lechner
2021-10-09,20:45 (14:45),WCQ,First round,Sat,Home,W,2,0,nir Northern Ireland,,,72,"19,129",Xherdan Shaqiri,4-3-1-2,Slavko Vinčič
2021-10-12,21:45 (14:45),WCQ,First round,Tue,Away,W,4,0,lt Lithuania,,,70,"1,806",Xherdan Shaqiri,4-2-3-1,Tiago Martins
2021-11-12,20:45 (14:45),WCQ,First round,Fri,Away,D,1,1,it Italy,,,36,"45,699",Xherdan Shaqiri,4-2-3-1,Anthony Taylor
2021-11-15,20:45 (14:45),WCQ,First round,Mon,Home,W,4,0,bg Bulgaria,,,69,,Xherdan Shaqiri,4-2-3-1,Benoît Bastien
2021-03-25,19:00 (13:00),WCQ,First round,Thu,Away,W,3,1,bg Bulgaria,,,70,,Granit Xhaka,3-4-1-2,Nikola Dabanović
2021-03-28,20:45 (14:45),WCQ,First round,Sun,Home,W,1,0,lt Lithuania,,,69,,Granit Xhaka,3-4-1-2,Mattias Gestranius
2021-09-05,20:45 (14:45),WCQ,First round,Sun,Home,D,0,0,it Italy,,,48,"31,500",Yann Sommer,4-3-2-1,Carlos del Cerro
2021-09-08,19:45 (14:45),WCQ,First round,Wed,Away,D,0,0,nir Northern Ireland,,,75,"15,660",Yann Sommer,4-3-2-1,Harald Lechner
2021-10-09,20:45 (14:45),WCQ,First round,Sat,Home,W,2,0,nir Northern Ireland,,,72,"19,129",Xherdan Shaqiri,4-3-1-2,Slavko Vinčič
2021-10-12,21:45 (14:45),WCQ,First round,Tue,Away,W,4,0,lt Lithuania,,,70,"1,806",Xherdan Shaqiri,4-2-3-1,Tiago Martins
2021-11-12,20:45 (14:45),WCQ,First round,Fri,Away,D,1,1,it Italy,,,36,"45,699",Xherdan Shaqiri,4-2-3-1,Anthony Taylor
2021-11-15,20:45 (14:45),WCQ,First round,Mon,Home,W,4,0,bg Bulgaria,,,69,,Xherdan Shaqiri,4-2-3-1,Benoît Bastien
2022-03-26,17:30 (13:30),Friendlies (M),Friendlies (M),Sat,Neutral,L,1,2,eng England,,,,,Granit Xhaka,4-2-3-1,Andreas Ekberg
2022-03-29,18:00 (12:00),Friendlies (M),Friendlies (M),Tue,Neutral,D,1,1,xk Kosovo,,,,,Granit Xhaka,4-2-3-1,Ruddy Buquet
2022-06-02,20:45 (14:45),UEFA Nations League,League A,Thu,Away,L,1,2,cz Czech Republic,,,62,"12,236",Granit Xhaka,4-4-2,Daniel Siebert
2022-06-05,19:45 (14:45),UEFA Nations League,League A,Sun,Away,L,0,4,pt Portugal,,,45,"42,325",Granit Xhaka,4-2-3-1,Orel Grinfeeld
2022-06-09,20:45 (14:45),UEFA Nations League,League A,Thu,Home,L,0,1,es Spain,,,34,"25,875",Granit Xhaka,4-3-3,Serdar Gözübüyük
2022-06-12,20:45 (14:45),UEFA Nations League,League A,Sun,Home,W,1,0,pt Portugal,,,42,"26,300",Granit Xhaka,4-3-3,Fran Jović
2022-09-24,20:45 (14:45),UEFA Nations League,League A,Sat,Away,W,2,1,es Spain,,,25,"31,089",Granit Xhaka,4-2-3-1,Clément Turpin
2022-09-27,20:45 (14:45),UEFA Nations League,League A,Tue,Home,W,2,1,cz Czech Republic,,,53,"13,353",Granit Xhaka,4-2-3-1,Irfan Peljto
2022-11-17,14:00 (05:00),Friendlies (M),Friendlies (M),Thu,Neutral,L,0,2,gh Ghana,,,,,Granit Xhaka,3-3-2-2,Ahmed Eisa Mohamed
2022-11-24,13:00 (05:00),World Cup,Group stage,Thu,Neutral,W,1,0,cm Cameroon,1.4,0.7,51,"39,089",Granit Xhaka,4-2-3-1,Facundo Tello
2022-11-28,19:00 (11:00),World Cup,Group stage,Mon,Neutral,L,0,1,br Brazil,0.3,1.0,46,"43,649",Granit Xhaka,4-2-3-1,Iván Barton
2022-12-02,22:00 (14:00),World Cup,Group stage,Fri,Neutral,W,3,2,rs Serbia,2.7,1.3,46,"41,378",Granit Xhaka,4-2-3-1,Fernando Rapallini
2015-03-27,20:45 (15:45),Euro Qualifying,Group stage,Fri,Home,W,3,0,ee Estonia,,,63,"14,500",Gökhan Inler,4-3-1-2,Danny Makkelie
2015-03-31,18:05 (12:05),Friendlies (M),Friendlies (M),Tue,Home,D,1,1,us United States,,,,"16,100",Gökhan Inler,,Luca Banti
2015-06-10,20:15 (14:15),Friendlies (M),Friendlies (M),Wed,Home,W,3,0,li Liechtenstein,,,,"8,100",,,Richard Trutz
2015-06-14,21:45 (14:45),Euro Qualifying,Group stage,Sun,Away,W,2,1,lt Lithuania,,,68,"4,600",Gökhan Inler,4-1-3-2,Craig Thomson
2015-09-05,20:45 (14:45),Euro Qualifying,Group stage,Sat,Home,W,3,2,si Slovenia,,,68,"25,750",Stephan Lichtsteiner,4-2-3-1,Pavel Královec
2015-09-08,19:45 (14:45),Euro Qualifying,Group stage,Tue,Away,L,0,2,eng England,,,51,"75,751",Gökhan Inler,4-3-3,Gianluca Rocchi
2015-10-09,20:45 (14:45),Euro Qualifying,Group stage,Fri,Home,W,7,0,sm San Marino,,,78,"16,200",Gökhan Inler,4-1-4-1,Mattias Gestranius
2015-10-12,21:45 (14:45),Euro Qualifying,Group stage,Mon,Away,W,1,0,ee Estonia,,,60,"7,304",Gökhan Inler,4-2-3-1,Pol van Boekel
2015-11-13,20:45 (14:45),Friendlies (M),Friendlies (M),Fri,Away,L,2,3,sk Slovakia,,,,"17,582",,,Miroslav Zelinka
2015-11-17,20:45 (14:45),Friendlies (M),Friendlies (M),Tue,Away,W,2,1,at Austria,,,,"27,800",,,Manuel Gräfe
2012-09-07,20:30 (14:30),WCQ,First round,Fri,Away,W,2,0,si Slovenia,,,,"13,213",Gökhan Inler,,Paolo Tagliavento
2012-09-11,20:30 (14:30),WCQ,First round,Tue,Home,W,2,0,al Albania,,,,"16,500",Gökhan Inler,,Ovidiu Hațegan
2012-10-12,20:30 (14:30),WCQ,First round,Fri,Home,D,1,1,no Norway,,,,"30,712",Gökhan Inler,,David Fernández
2012-10-16,18:30 (14:30),WCQ,First round,Tue,Away,W,2,0,is Iceland,,,,"8,369",Gökhan Inler,,Alan Kelly
2013-03-23,18:30 (12:30),WCQ,First round,Sat,Away,D,0,0,cy Cyprus,,,,"2,045",Gökhan Inler,,Manuel Gräfe
2013-06-08,17:30 (11:30),WCQ,First round,Sat,Home,W,1,0,cy Cyprus,,,,"16,900",Gökhan Inler,,Paolo Mazzoleni
2013-09-06,20:30 (14:30),WCQ,First round,Fri,Home,D,4,4,is Iceland,,,,"26,000",Diego Benaglio,,Sergey Karasev
2013-09-10,19:00 (13:00),WCQ,First round,Tue,Away,W,2,0,no Norway,,,,"16,631",Gökhan Inler,,Howard Webb
2013-10-11,20:30 (14:30),WCQ,First round,Fri,Away,W,2,1,al Albania,,,,"14,000",Gökhan Inler,,Pedro Proença
2013-10-15,20:00 (14:00),WCQ,First round,Tue,Home,W,1,0,si Slovenia,,,,"22,014",Gökhan Inler,,Björn Kuipers
2014-03-05,20:30 (14:30),Friendlies (M),Friendlies (M),Wed,Home,D,2,2,hr Croatia,,,,"17,200",Gökhan Inler,4-2-3-1,Hugo Miguel
2014-05-30,20:30 (14:30),Friendlies (M),Friendlies (M),Fri,Home,W,1,0,jm Jamaica,,,,,Diego Benaglio,4-2-3-1,Neil Doyle
2014-06-03,20:30 (14:30),Friendlies (M),Friendlies (M),Tue,Home,W,2,0,pe Peru,,,,,,,
2014-06-15,13:00 (12:00),FIFA World Cup,Group stage,Sun,Neutral,W,2,1,ec Ecuador,,,56,"68,351",,4-2-3-1,Ravshan Irmatov
2014-06-20,16:00 (15:00),FIFA World Cup,Group stage,Fri,Neutral,L,2,5,fr France,,,57,"51,003",,4-2-3-1,Björn Kuipers
2014-06-25,16:00,FIFA World Cup,Group stage,Wed,Neutral,W,3,0,hn Honduras,,,39,"40,322",,4-2-3-1,Néstor Pitana
2014-07-01,13:00 (12:00),FIFA World Cup,Round of 16,Tue,Neutral,L,0,1,ar Argentina,,,39,"63,255",,4-2-3-1,Jonas Eriksson
2014-09-08,20:45 (14:45),Euro Qualifying,Group stage,Mon,Home,L,0,2,eng England,,,54,"35,500",Gökhan Inler,4-3-3,Cüneyt Çakιr
2014-10-09,20:45 (14:45),Euro Qualifying,Group stage,Thu,Away,L,0,1,si Slovenia,,,65,"8,500",Gökhan Inler,4-2-2-2,Wolfgang Stark
2014-10-14,20:45 (14:45),Euro Qualifying,Group stage,Tue,Away,W,4,0,sm San Marino,,,71,"5,700",Stephan Lichtsteiner,4-1-3-2,Tony Chapron
2014-11-15,20:45 (14:45),Euro Qualifying,Group stage,Sat,Home,W,4,0,lt Lithuania,,,69,"16,050",Gökhan Inler,4-3-1-2,Svein Oddvar Moen
2014-11-18,20:45 (14:45),Friendlies (M),Friendlies (M),Tue,Away,D,2,2,pl Poland,,,,"40,133",,4-2-3-1,Kristinn Jakobsson
2010-09-07,20:45 (14:45),Euro Qualifying,Group stage,Tue,Home,L,1,3,eng England,,,,"37,500",Alexander Frei,,Nicola Rizzoli
2010-10-08,20:30 (14:30),Euro Qualifying,Group stage,Fri,Away,L,0,1,me Montenegro,,,,"10,750",Alexander Frei,,Eduardo Iturralde González
2010-10-12,20:30 (14:30),Euro Qualifying,Group stage,Tue,Home,W,4,1,wls Wales,,,,"26,000",Alexander Frei,,Alain Hamer
2011-03-26,18:45 (12:45),Euro Qualifying,Group stage,Sat,Away,D,0,0,bg Bulgaria,,,,"9,600",Alexander Frei,,William Collum
2011-06-04,16:45 (11:45),Euro Qualifying,Group stage,Sat,Away,D,2,2,eng England,,,,"84,459",Gökhan Inler,,Damir Skomina
2011-09-06,20:30 (14:30),Euro Qualifying,Group stage,Tue,Home,W,3,1,bg Bulgaria,,,,"16,880",Gökhan Inler,,Pavel Královec
2011-10-07,19:45 (14:45),Euro Qualifying,Group stage,Fri,Away,L,0,2,wls Wales,,,,"12,317",Gökhan Inler,,Björn Kuipers
2011-10-11,20:15 (14:15),Euro Qualifying,Group stage,Tue,Home,W,2,0,me Montenegro,,,,"19,997",Gökhan Inler,,Olegário Benquerença
2012-09-07,20:30 (14:30),WCQ,First round,Fri,Away,W,2,0,si Slovenia,,,,"13,213",Gökhan Inler,,Paolo Tagliavento
2012-09-11,20:30 (14:30),WCQ,First round,Tue,Home,W,2,0,al Albania,,,,"16,500",Gökhan Inler,,Ovidiu Hațegan
2012-10-12,20:30 (14:30),WCQ,First round,Fri,Home,D,1,1,no Norway,,,,"30,712",Gökhan Inler,,David Fernández
2012-10-16,18:30 (14:30),WCQ,First round,Tue,Away,W,2,0,is Iceland,,,,"8,369",Gökhan Inler,,Alan Kelly
2008-09-06,20:55 (13:55),WCQ,First round,Sat,Away,D,2,2,il Israel,,,,"29,600",Ludovic Magnin,,Martin Hansson
2008-09-10,20:30 (14:30),WCQ,First round,Wed,Home,L,1,2,lu Luxembourg,,,,"20,500",Alexander Frei,,Dejan Filipovic
2008-10-11,17:45 (11:45),WCQ,First round,Sat,Home,W,2,1,lv Latvia,,,,"18,026",Alexander Frei,,Lucílio Cardoso Cortez Batista
2008-10-15,21:30 (14:30),WCQ,First round,Wed,Away,W,2,1,gr Greece,,,,"28,810",Alexander Frei,,Luis Medina Cantalejo
2009-03-28,18:45 (12:45),WCQ,First round,Sat,Away,W,2,0,md Moldova,,,,"10,500",Alexander Frei,,Douglas McDonald
2009-04-01,20:30 (14:30),WCQ,First round,Wed,Home,W,2,0,md Moldova,,,,"20,100",Alexander Frei,,Gianluca Rocchi
2009-09-05,20:30 (14:30),WCQ,First round,Sat,Home,W,2,0,gr Greece,,,,"38,500",Alexander Frei,,Frank De Bleeckere
2009-09-09,21:30 (14:30),WCQ,First round,Wed,Away,D,2,2,lv Latvia,,,,"8,600",Alexander Frei,,Pavel Královec
2009-10-10,17:45 (11:45),WCQ,First round,Sat,Away,W,3,0,lu Luxembourg,,,,"8,031",Alexander Frei,,Eduardo Iturralde González
2009-10-14,20:00 (14:00),WCQ,First round,Wed,Home,D,0,0,il Israel,,,,"38,500",,,
2010-06-16,16:00 (10:00),FIFA World Cup,Group stage,Wed,Neutral,W,1,0,es Spain,,,,"62,453",,4-4-2,
2010-06-21,16:00 (10:00),FIFA World Cup,Group stage,Mon,Neutral,L,0,1,cl Chile,,,,"34,872",,4-4-2,
2010-06-25,20:30 (14:30),FIFA World Cup,Group stage,Fri,Neutral,D,0,0,hn Honduras,,,,"28,042",,4-4-2,
2010-09-07,20:45 (14:45),Euro Qualifying,Group stage,Tue,Home,L,1,3,eng England,,,,"37,500",Alexander Frei,,Nicola Rizzoli
2010-10-08,20:30 (14:30),Euro Qualifying,Group stage,Fri,Away,L,0,1,me Montenegro,,,,"10,750",Alexander Frei,,Eduardo Iturralde González
2010-10-12,20:30 (14:30),Euro Qualifying,Group stage,Tue,Home,W,4,1,wls Wales,,,,"26,000",Alexander Frei,,Alain Hamer
