Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee
2020-10-11,18:00 (12:00),UEFA Nations League,League A,Sun,Home,W,2,1,se Sweden,,,54,"2,020",Luka Modrić,4-3-3,John Beaton
2020-10-14,20:45 (14:45),UEFA Nations League,League A,Wed,Home,L,1,2,fr France,,,52,"6,266",Luka Modrić,4-2-3-1,Björn Kuipers
2020-11-11,20:45 (12:45),Friendlies (M),Friendlies (M),Wed,Away,D,3,3,tr Türkiye,,,,,Domagoj Vida,4-2-3-1,Slavko Vinčič
2020-11-14,20:45 (14:45),UEFA Nations League,League A,Sat,Away,L,1,2,se Sweden,,,56,,Luka Modrić,4-2-3-1,Daniel Siebert
2020-11-17,20:45 (14:45),UEFA Nations League,League A,Tue,Home,L,2,3,pt Portugal,,,41,,Luka Modrić,4-1-4-1,Michael Oliver
2019-03-21,20:45 (15:45),UEFA Euro Qualifying,Group stage,Thu,Home,W,2,1,az Azerbaijan,,,74,"23,146",Luka Modrić,4-2-3-1,Georgi Kabakov
2019-03-24,18:00 (13:00),UEFA Euro Qualifying,Group stage,Sun,Away,L,1,2,hu Hungary,,,64,"19,400",Luka Modrić,4-2-3-1,William Collum
2019-06-08,15:00 (09:00),UEFA Euro Qualifying,Group stage,Sat,Home,W,2,1,wls Wales,,,63,"17,061",Luka Modrić,4-2-3-1,István Kovács
2019-06-11,20:45 (14:45),Friendlies (M),Friendlies (M),Tue,Home,L,1,2,tn Tunisia,,,,"8,036",Domagoj Vida,3-5-2,Daniel Stefański
2019-09-06,20:45 (14:45),UEFA Euro Qualifying,Group stage,Fri,Away,W,4,0,sk Slovakia,,,51,"18,098",Luka Modrić,4-2-3-1,Felix Brych
2019-09-09,20:00 (12:00),UEFA Euro Qualifying,Group stage,Mon,Away,D,1,1,az Azerbaijan,,,63,"9,150",Luka Modrić,4-2-3-1,Sandro Schärer
2019-10-10,20:45 (14:45),UEFA Euro Qualifying,Group stage,Thu,Home,W,3,0,hu Hungary,,,69,"32,110",Luka Modrić,4-3-3,Daniele Orsato
2019-10-13,19:45 (14:45),UEFA Euro Qualifying,Group stage,Sun,Away,D,1,1,wls Wales,,,64,"31,745",Luka Modrić,4-2-3-1,Björn Kuipers
2019-11-16,20:45 (14:45),UEFA Euro Qualifying,Group stage,Sat,Home,W,3,1,sk Slovakia,,,67,"8,212",Luka Modrić,4-2-3-1,Clément Turpin
2019-11-19,18:00 (12:00),Friendlies (M),Friendlies (M),Tue,Home,W,2,1,ge Georgia,,,,"5,072",Ivan Perišić,,Alan Sant
2018-07-01,21:00 (14:00),FIFA World Cup,Round of 16,Sun,Neutral,D,1 (3),1 (2),dk Denmark,,,54,"40,851",Luka Modrić,4-1-4-1,Néstor Pitana
2018-07-07,21:00 (14:00),FIFA World Cup,Quarter-finals,Sat,Neutral,D,2 (4),2 (3),ru Russia,,,64,"44,287",Luka Modrić,4-2-3-1,Sandro Ricci
2018-07-11,21:00 (14:00),FIFA World Cup,Semi-finals,Wed,Neutral,W,2,1,eng England,,,55,"78,011",Luka Modrić,4-1-4-1,Cüneyt Çakιr
2018-07-15,18:00 (11:00),FIFA World Cup,Final,Sun,Neutral,L,2,4,fr France,,,65,"78,011",Luka Modrić,4-1-4-1,Néstor Pitana
2018-09-06,19:45 (14:45),Friendlies (M),Friendlies (M),Thu,Away,D,1,1,pt Portugal,,,,"26,356",Luka Modrić,4-2-3-1,Javier Estrada
2018-09-11,20:45 (14:45),UEFA Nations League,League A,Tue,Away,L,0,6,es Spain,,,,"26,900",Luka Modrić,4-2-3-1,Benoît Bastien
2018-10-12,20:45 (14:45),UEFA Nations League,League A,Fri,Home,D,0,0,eng England,,,,,Luka Modrić,4-2-3-1,Felix Brych
2018-10-15,20:45 (14:45),Friendlies (M),Friendlies (M),Mon,Home,W,2,1,jo Jordan,,,,,Domagoj Vida,4-1-4-1,Sándor Andó-Szabó
2018-11-15,20:45 (14:45),UEFA Nations League,League A,Thu,Home,W,3,2,es Spain,,,,"33,018",Luka Modrić,4-2-3-1,Aliaksei Kulbakou
2018-11-18,14:00 (09:00),UEFA Nations League,League A,Sun,Away,L,1,2,eng England,,,,"78,221",Luka Modrić,4-2-3-1,Tasos Sidiropoulos
2019-03-21,20:45 (15:45),UEFA Euro Qualifying,Group stage,Thu,Home,W,2,1,az Azerbaijan,,,74,"23,146",Luka Modrić,4-2-3-1,Georgi Kabakov
2019-03-24,18:00 (13:00),UEFA Euro Qualifying,Group stage,Sun,Away,L,1,2,hu Hungary,,,64,"19,400",Luka Modrić,4-2-3-1,William Collum
2019-06-08,15:00 (09:00),UEFA Euro Qualifying,Group stage,Sat,Home,W,2,1,wls Wales,,,63,"17,061",Luka Modrić,4-2-3-1,István Kovács
2019-06-11,20:45 (14:45),Friendlies (M),Friendlies (M),Tue,Home,L,1,2,tn Tunisia,,,,"8,036",Domagoj Vida,3-5-2,Daniel Stefański
2016-09-05,20:45 (14:45),WCQ,First round,Mon,Home,D,1,1,tr Türkiye,,,,,Luka Modrić,4-4-1-1,Szymon Marciniak
2016-10-06,20:45 (14:45),WCQ,First round,Thu,Away,W,6,0,xk Kosovo,,,,"14,612",Vedran Ćorluka,4-4-2,David Fernández
2016-10-09,19:00 (12:00),WCQ,First round,Sun,Away,W,1,0,fi Finland,,,,"15,567",Mario Mandžukić,4-2-2-2,Ruddy Buquet
2016-11-12,18:00 (12:00),WCQ,First round,Sat,Home,W,2,0,is Iceland,,,,,Vedran Ćorluka,4-4-2,Gianluca Rocchi
2017-03-24,20:45 (15:45),WCQ,First round,Fri,Home,W,1,0,ua Ukraine,,,,"27,351",Luka Modrić,4-2-3-1,Antonio Matéu Lahoz
2017-06-11,18:45 (14:45),WCQ,First round,Sun,Away,L,0,1,is Iceland,,,,"9,775",Luka Modrić,4-2-3-1,Alberto Undiano
2017-09-03,14:30 (08:30),WCQ,First round,Sun,Home,W,1,0,xk Kosovo,,,,"6,839",Luka Modrić,4-2-3-1,Stefan Johannesson
2017-09-05,21:45 (14:45),WCQ,First round,Tue,Away,L,0,1,tr Türkiye,,,,"28,600",Luka Modrić,4-2-3-1,Viktor Kassai
2017-10-06,20:45 (14:45),WCQ,First round,Fri,Home,D,1,1,fi Finland,,,,"7,578",Luka Modrić,4-2-3-1,Daniel Stefański
