Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee
2021-06-23,18:00 (12:00),UEFA Euro,Group stage,Wed,Neutral,W,5,0,sk Slovakia,,,65,"11,204",Sergio Busquets,4-3-3,Björn Kuipers
2021-06-28,18:00 (12:00),UEFA Euro,Round of 16,Mon,Neutral,W,5,3,hr Croatia,,,66,"22,771",Sergio Busquets,4-3-3,Cüneyt Çakιr
2021-10-06,20:45 (14:45),UEFA Nations League,Semi-finals,Wed,Neutral,W,2,1,it Italy,,,75,"33,524",Sergio Busquets,4-3-3,Sergey Karasev
2021-10-10,20:45 (14:45),UEFA Nations League,Final,Sun,Neutral,L,1,2,fr France,,,64,"31,511",Sergio Busquets,4-3-3,Anthony Taylor
2020-09-03,20:45 (14:45),UEFA Nations League,League A,Thu,Away,D,1,1,de Germany,,,59,,Sergio Ramos,4-3-3,Daniele Orsato
2020-09-06,20:45 (14:45),UEFA Nations League,League A,Sun,Home,W,4,0,ua Ukraine,,,70,,Sergio Ramos,4-4-2,Benoît Bastien
2020-10-07,19:45 (14:45),Friendlies (M),Friendlies (M),Wed,Away,D,0,0,pt Portugal,,,,,Sergio Busquets,4-3-3,Paolo Valeri
2020-10-10,20:45 (14:45),UEFA Nations League,League A,Sat,Home,W,1,0,ch Switzerland,,,60,,Sergio Ramos,4-3-3,Ali Palabıyık
2020-10-13,21:45 (14:45),UEFA Nations League,League A,Tue,Away,L,0,1,ua Ukraine,,,72,"10,495",Sergio Ramos,4-3-3,Paweł Gil
2020-11-11,20:45 (14:45),Friendlies (M),Friendlies (M),Wed,Away,D,1,1,nl Netherlands,,,,,Koke,4-2-2-2,Davide Massa
2020-11-14,20:45 (14:45),UEFA Nations League,League A,Sat,Away,D,1,1,ch Switzerland,,,71,,Sergio Ramos,4-2-3-1,William Collum
2020-11-17,20:45 (14:45),UEFA Nations League,League A,Tue,Home,W,6,0,de Germany,,,70,,Sergio Ramos,4-2-3-1,Andreas Ekberg
2018-07-01,17:00 (10:00),FIFA World Cup,Round of 16,Sun,Neutral,D,1 (3),1 (4),ru Russia,,,78,"78,011",Sergio Ramos,4-2-3-1,Björn Kuipers
2018-09-08,19:45 (14:45),UEFA Nations League,League A,Sat,Away,W,2,1,eng England,,,,"81,392",Sergio Ramos,4-3-3,Jochem Kamphuis
2018-09-11,20:45 (14:45),UEFA Nations League,League A,Tue,Home,W,6,0,hr Croatia,,,,"26,900",Sergio Ramos,4-3-3,Benoît Bastien
2018-10-11,19:45 (14:45),Friendlies (M),Friendlies (M),Thu,Away,W,4,1,wls Wales,,,,"50,232",Sergio Ramos,4-1-4-1,Anthony Taylor
2018-10-15,20:45 (14:45),UEFA Nations League,League A,Mon,Home,L,2,3,eng England,,,,"50,355",Sergio Ramos,4-3-3,Zbigniew Dobrynin
2018-11-15,20:45 (14:45),UEFA Nations League,League A,Thu,Away,L,2,3,hr Croatia,,,,"33,018",Sergio Ramos,4-3-3,Aliaksei Kulbakou
2018-11-18,19:45 (14:45),Friendlies (M),Friendlies (M),Sun,Home,W,1,0,ba Bosnia & Herz'na,,,,,Isco,4-3-3,Carlos Xistra
2019-03-23,20:45 (15:45),UEFA Euro Qualifying,Group stage,Sat,Home,W,2,1,no Norway,,,75,"39,752",Sergio Ramos,4-3-3,Andris Treimanis
2019-03-26,20:45 (15:45),UEFA Euro Qualifying,Group stage,Tue,Away,W,2,0,mt Malta,,,84,"16,542",Sergio Ramos,4-3-3,Andrew Dallas
2019-06-07,19:45 (14:45),UEFA Euro Qualifying,Group stage,Fri,Away,W,4,1,fo Faroe Islands,,,77,"3,226",Sergio Ramos,4-3-3,Enea Jorgji
2019-06-10,20:45 (14:45),UEFA Euro Qualifying,Group stage,Mon,Home,W,3,0,se Sweden,,,74,"72,205",Sergio Ramos,4-3-3,William Collum
2016-09-05,20:45 (14:45),WCQ,First round,Mon,Home,W,8,0,li Liechtenstein,,,,"12,139",Sergio Ramos,4-2-3-1,Lee Evans
2016-10-06,20:45 (14:45),WCQ,First round,Thu,Away,D,1,1,it Italy,,,,"41,000",Sergio Ramos,4-3-3,Felix Brych
2016-10-09,20:45 (14:45),WCQ,First round,Sun,Away,W,2,0,al Albania,,,,"15,245",Sergio Ramos,4-4-1-1,Bas Nijhuis
2016-11-12,20:45 (14:45),WCQ,First round,Sat,Home,W,4,0,mk N. Macedonia,,,,"16,622",David Silva,4-5-1,Robert Schörgenhofer
2017-03-24,20:45 (15:45),WCQ,First round,Fri,Home,W,4,1,il Israel,,,,"20,321",Sergio Ramos,4-2-3-1,Michael Oliver
2017-06-11,20:45 (14:45),WCQ,First round,Sun,Away,W,2,1,mk N. Macedonia,,,,"20,675",Andrés Iniesta,4-1-4-1,Paweł Gil
2017-09-02,20:45 (14:45),WCQ,First round,Sat,Home,W,3,0,it Italy,,,,"73,628",Sergio Ramos,4-3-3,Björn Kuipers
2017-09-05,20:45 (14:45),WCQ,First round,Tue,Away,W,8,0,li Liechtenstein,,,,"5,864",Sergio Ramos,3-4-3,Ivaylo Stoyanov
2017-10-06,20:45 (14:45),WCQ,First round,Fri,Home,W,3,0,al Albania,,,,"25,397",Sergio Ramos,4-3-3,Aleksey Eskov
2017-10-09,21:45 (14:45),WCQ,First round,Mon,Away,W,1,0,il Israel,,,,"28,700",Sergio Ramos,4-2-3-1,Craig Thomson
2018-03-23,20:45 (15:45),Friendlies (M),Friendlies (M),Fri,Away,D,1,1,de Germany,,,,"50,653",Sergio Ramos,4-3-3,William Collum
2018-03-27,21:30 (15:30),Friendlies (M),Friendlies (M),Tue,Home,W,6,1,ar Argentina,,,,"65,541",Sergio Ramos,4-3-3,Anthony Taylor
2018-06-03,21:00 (15:00),Friendlies (M),Friendlies (M),Sun,Home,D,1,1,ch Switzerland,,,,"18,350",Andrés Iniesta,4-1-4-1,István Kovács
2018-06-09,21:45 (14:45),Friendlies (M),Friendlies (M),Sat,Home,W,1,0,tn Tunisia,,,,"33,116",Sergio Ramos,4-1-4-1,Bas Nijhuis
2018-06-15,21:00 (14:00),FIFA World Cup,Group stage,Fri,Neutral,D,3,3,pt Portugal,1.6,1.2,66,"43,866",Sergio Ramos,4-3-3,Gianluca Rocchi
2018-06-20,21:00 (14:00),FIFA World Cup,Group stage,Wed,Neutral,W,1,0,ir IR Iran,1.9,0.7,77,"42,718",Sergio Ramos,4-1-4-1,Andrés Cunha
2018-06-25,20:00 (14:00),FIFA World Cup,Group stage,Mon,Neutral,D,2,2,ma Morocco,2.9,1.2,75,"33,973",Sergio Ramos,4-3-3,Ravshan Irmatov
2018-07-01,17:00 (10:00),FIFA World Cup,Round of 16,Sun,Neutral,D,1 (3),1 (4),ru Russia,1.8,1.0,78,"78,011",Sergio Ramos,4-2-3-1,Björn Kuipers
2018-09-08,19:45 (14:45),UEFA Nations League,League A,Sat,Away,W,2,1,eng England,,,,"81,392",Sergio Ramos,4-3-3,Jochem Kamphuis
2018-09-11,20:45 (14:45),UEFA Nations League,League A,Tue,Home,W,6,0,hr Croatia,,,,"26,900",Sergio Ramos,4-3-3,Benoît Bastien
2018-10-11,19:45 (14:45),Friendlies (M),Friendlies (M),Thu,Away,W,4,1,wls Wales,,,,"50,232",Sergio Ramos,4-1-4-1,Anthony Taylor
2018-10-15,20:45 (14:45),UEFA Nations League,League A,Mon,Home,L,2,3,eng England,,,,"50,355",Sergio Ramos,4-3-3,Zbigniew Dobrynin
2018-11-15,20:45 (14:45),UEFA Nations League,League A,Thu,Away,L,2,3,hr Croatia,,,,"33,018",Sergio Ramos,4-3-3,Aliaksei Kulbakou
2018-11-18,19:45 (14:45),Friendlies (M),Friendlies (M),Sun,Home,W,1,0,ba Bosnia & Herz'na,,,,,Isco,4-3-3,Carlos Xistra
2017-03-24,20:45 (15:45),WCQ,First round,Fri,Home,W,4,1,il Israel,,,,"20,321",Sergio Ramos,4-2-3-1,Michael Oliver
2017-03-28,21:00 (15:00),Friendlies (M),Friendlies (M),Tue,Away,W,2,0,fr France,,,,"79,021",Sergio Ramos,4-3-3,Felix Zwayer
2017-06-07,21:30 (15:30),Friendlies (M),Friendlies (M),Wed,Home,D,2,2,co Colombia,,,,"31,179",Andrés Iniesta,4-1-4-1,Slavko Vinčič
2017-06-11,20:45 (14:45),WCQ,First round,Sun,Away,W,2,1,mk N. Macedonia,,,,"20,675",Andrés Iniesta,4-1-4-1,Paweł Gil
