Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,,
2015-11-12,20:00 (04:00),WCQ,Second round,Thu,Home,W,3,0,kg Kyrgyz Republic,,,,"19,412",,,Kim Sangwoo,,
2015-11-17,17:30 (06:30),WCQ,Second round,Tue,Away,W,4,0,bd Bangladesh,,,,"19,730",,,Wang Di,,
2011-09-02,20:00 (06:00),WCQ,Third round,Fri,Home,W,2,1,th Thailand,,,,"24,540",Lucas Neill,,Abdullah Al Baloushi,,
2011-09-06,20:30 (13:30),WCQ,Third round,Tue,Away,W,3,1,sa Saudi Arabia,,,,"15,000",Lucas Neill,,Yuichi Nishimura,,
2011-10-11,19:30 (04:30),WCQ,Third round,Tue,Home,W,3,0,om Oman,,,,"24,732",Lucas Neill,,Valentin Kovalenko,,
2011-11-11,18:00 (09:00),WCQ,Third round,Fri,Away,L,0,1,om Oman,,,,"4,500",Lucas Neill,,Ali Al Samaheeji,,
2011-11-15,18:00 (06:00),WCQ,Third round,Tue,Away,W,1,0,th Thailand,,,,"19,400",Lucas Neill,,Saeid Mozaffarizadeh,,
2012-02-29,20:30 (04:30),WCQ,Third round,Wed,Home,W,4,2,sa Saudi Arabia,,,,"24,240",Lucas Neill,,Kim Dongjin,,
2012-06-08,17:00 (09:00),WCQ,Fourth round,Fri,Away,D,0,0,om Oman,,,,"11,000",Lucas Neill,,Alireza Faghani,,
2012-06-12,20:00 (06:00),WCQ,Fourth round,Tue,Home,D,1,1,jp Japan,,,,"40,189",Lucas Neill,,Khalil Al Ghamdi,,
2012-09-11,19:00 (12:00),WCQ,Fourth round,Tue,Away,L,1,2,jo Jordan,,,,"16,000",Lucas Neill,,Abdullah Al Baloushi,,
2012-10-16,17:15 (10:15),WCQ,Fourth round,Tue,Away,W,2,1,iq Iraq,,,,"2,183",Lucas Neill,,Lee Minhu,,
2013-03-26,19:30 (04:30),WCQ,Fourth round,Tue,Home,D,2,2,om Oman,,,,"34,603",Mark Schwarzer,,Ravshan Irmatov,,
2013-06-04,19:34 (06:34),WCQ,Fourth round,Tue,Away,D,1,1,jp Japan,,,,"62,172",Lucas Neill,,Nawaf Shukralla,,
2013-06-11,19:00 (05:00),WCQ,Fourth round,Tue,Home,W,4,0,jo Jordan,,,,"43,785",Lucas Neill,,Abdul Malik Abdul Bashir,,
2013-06-18,19:30 (05:30),WCQ,Fourth round,Tue,Home,W,1,0,iq Iraq,,,,"80,523",Lucas Neill,,Alireza Faghani,,
2014-03-05,20:00 (15:00),Friendlies (M),Friendlies (M),Wed,Neutral,L,3,4,ec Ecuador,,,,"7,133",Mile Jedinak,4-2-3-1,Lee Probert,,
2014-05-26,19:30 (05:30),Friendlies (M),Friendlies (M),Mon,Home,D,1,1,za South Africa,,,,"50,468",Tim Cahill,4-2-3-1,Kim Jonghyeok,,
2014-06-06,20:00 (19:00),Friendlies (M),Friendlies (M),Fri,Away,L,0,1,hr Croatia,,,,"8,500",Mile Jedinak,4-1-4-1,Francisco Carlos do Nascimento,,
2014-06-13,18:00,FIFA World Cup,Group stage,Fri,Neutral,L,1,3,cl Chile,,,38,"40,275",,4-2-3-1,Noumandiez Doué,,
2014-06-18,13:00 (12:00),FIFA World Cup,Group stage,Wed,Neutral,L,2,3,nl Netherlands,,,48,"42,877",,4-2-3-1,Djamel Haïmoudi,,
2014-06-23,13:00 (12:00),FIFA World Cup,Group stage,Mon,Neutral,L,0,3,es Spain,,,45,"39,375",,4-2-3-1,Nawaf Shukralla,,
2014-09-04,20:45 (14:45),Friendlies (M),Friendlies (M),Thu,Away,L,0,2,be Belgium,,,,"16,850",Mile Jedinak,4-2-3-1,Michael Oliver,,
2014-09-08,20:00 (15:00),Friendlies (M),Friendlies (M),Mon,Away,W,3,2,sa Saudi Arabia,,,,"3,677",Mile Jedinak,4-1-4-1,Martin Atkinson,,
2014-10-10,18:30 (10:30),Friendlies (M),Friendlies (M),Fri,Away,D,0,0,ae UAE,,,,"1,000",Mile Jedinak,4-2-3-1,Vladislav Tseytlin,,
2014-10-14,19:00 (12:00),Friendlies (M),Friendlies (M),Tue,Away,L,0,1,qa Qatar,,,,"2,000",Mile Jedinak,4-2-3-1,Ahmad Ibrahim,,
2014-11-18,19:20 (05:20),Friendlies (M),Friendlies (M),Tue,Away,L,1,2,jp Japan,,,,"46,312",Mile Jedinak,4-1-4-1,Paweł Gil,,
2009-01-28,19:30 (07:30),AFC Asian Cup qualification,Qualifying round,Wed,Away,D,0,0,id Indonesia,,,,"50,000",Craig Moore,,Abdul Malik Abdul Bashir,,
2009-03-05,20:00 (04:00),AFC Asian Cup qualification,Qualifying round,Thu,Home,L,0,1,kw Kuwait,,,,"20,032",Craig Moore,,Masoud Moradi,,
2009-10-14,19:30 (04:30),AFC Asian Cup qualification,Qualifying round,Wed,Home,W,1,0,om Oman,,,,"20,595",Lucas Neill,,Masaaki Toma,,
2009-11-14,18:00 (09:00),AFC Asian Cup qualification,Qualifying round,Sat,Away,W,2,1,om Oman,,,,"12,000",Lucas Neill,,Sun Baojie,,
2010-01-06,17:30 (09:30),AFC Asian Cup qualification,Qualifying round,Wed,Away,D,2,2,kw Kuwait,,,,"20,000",Craig Moore,,Ravshan Irmatov,,
2010-03-03,19:00 (04:00),AFC Asian Cup qualification,Qualifying round,Wed,Home,W,1,0,id Indonesia,,,,"20,422",Jason Culina,,Kenji Ōgiya,,
2011-01-10,16:15 (08:15),Asian Cup,Group stage,Mon,Away,W,4,0,in India,,,,"9,783",Lucas Neill,4-2-2-2,Ali Hamad Al Badwawi,,
2011-01-14,16:15 (08:15),Asian Cup,Group stage,Fri,Home,D,1,1,kr Korea Republic,,,,"15,526",Lucas Neill,4-2-3-1,Abdulrahman Hussain,,
2011-01-18,16:15 (08:15),Asian Cup,Group stage,Tue,Home,W,1,0,bh Bahrain,,,,"3,919",Lucas Neill,4-2-3-1,Yuichi Nishimura,,
2011-01-22,16:25 (08:25),Asian Cup,Quarter-finals,Sat,Home,W,1,0,iq Iraq,,,,"7,889",Lucas Neill,4-2-3-1,Abdulrahman Hussain,,
2011-01-25,19:25 (11:25),Asian Cup,Semi-finals,Tue,Away,W,6,0,uz Uzbekistan,,,,"24,826",Lucas Neill,4-2-3-1,Ali Hamad Al Badwawi,,
2011-01-29,18:00 (10:00),Asian Cup,Final,Sat,Home,L,0,1,jp Japan,,,,"37,174",Lucas Neill,4-2-3-1,Ravshan Irmatov,,
2011-09-02,20:00 (06:00),WCQ,Third round,Fri,Home,W,2,1,th Thailand,,,,"24,540",Lucas Neill,,Abdullah Al Baloushi,,
2011-09-06,20:30 (13:30),WCQ,Third round,Tue,Away,W,3,1,sa Saudi Arabia,,,,"15,000",Lucas Neill,,Yuichi Nishimura,,
2011-10-11,19:30 (04:30),WCQ,Third round,Tue,Home,W,3,0,om Oman,,,,"24,732",Lucas Neill,,Valentin Kovalenko,,
2011-11-11,18:00 (09:00),WCQ,Third round,Fri,Away,L,0,1,om Oman,,,,"4,500",Lucas Neill,,Ali Al Samaheeji,,
2011-11-15,18:00 (06:00),WCQ,Third round,Tue,Away,W,1,0,th Thailand,,,,"19,400",Lucas Neill,,Saeid Mozaffarizadeh,,
2008-02-06,19:30 (03:30),WCQ,Third round,Wed,Home,W,3,0,qa Qatar,,,,"50,969",Lucas Neill,,Subkhiddin Salleh,,
