Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee
2017-03-25,21:45 (15:45),WCQ,First round,Sat,Away,L,0,2,bg Bulgaria,,,,"10,900",Arjen Robben,4-2-3-1,William Collum
2017-03-28,20:45 (14:45),Friendlies (M),Friendlies (M),Tue,Home,L,1,2,it Italy,,,,"46,228",Kevin Strootman,4-3-3,Jonas Eriksson
2017-05-31,17:30 (13:30),Friendlies (M),Friendlies (M),Wed,Away,W,2,1,ma Morocco,,,,,Jeroen Zoet,4-3-3,Mahamadou Keita
2017-06-04,19:30 (13:30),Friendlies (M),Friendlies (M),Sun,Home,W,5,0,ci Côte d'Ivoire,,,,"33,500",Arjen Robben,4-1-4-1,Harald Lechner
2017-06-09,20:45 (14:45),WCQ,First round,Fri,Home,W,5,0,lu Luxembourg,,,,"41,300",Arjen Robben,4-2-3-1,Bartosz Frankowski
2017-08-31,20:45 (14:45),WCQ,First round,Thu,Away,L,0,4,fr France,,,,"79,551",Arjen Robben,4-2-3-1,Gianluca Rocchi
2017-09-03,18:00 (12:00),WCQ,First round,Sun,Home,W,3,1,bg Bulgaria,,,,"47,079",Arjen Robben,4-3-3,Tasos Sidiropoulos
2017-10-07,21:45 (14:45),WCQ,First round,Sat,Away,W,3,1,by Belarus,,,,"6,850",Arjen Robben,4-3-3,Michael Oliver
2017-10-10,20:45 (14:45),WCQ,First round,Tue,Home,W,2,0,se Sweden,,,,"41,244",Arjen Robben,4-3-3,Sergey Karasev
2017-11-09,19:45 (14:45),Friendlies (M),Friendlies (M),Thu,Away,W,1,0,sct Scotland,,,,,,4-3-3,Ruddy Buquet
2017-11-14,21:00 (14:00),Friendlies (M),Friendlies (M),Tue,Away,W,3,0,ro Romania,,,,,Kevin Strootman,4-3-3,Christos Nicolaides
2014-09-09,20:45 (14:45),Euro Qualifying,Group stage,Tue,Away,L,1,2,cz Czech Republic,,,66,"17,946",Robin van Persie,5-3-2,Gianluca Rocchi
2014-10-10,20:45 (14:45),Euro Qualifying,Group stage,Fri,Home,W,3,1,kz Kazakhstan,,,77,"45,000",Robin van Persie,4-3-3,Matej Jug
2014-10-13,18:45 (14:45),Euro Qualifying,Group stage,Mon,Away,L,0,2,is Iceland,,,69,"9,760",Robin van Persie,4-3-3,Carlos Velasco
2014-11-16,18:00 (12:00),Euro Qualifying,Group stage,Sun,Home,W,6,0,lv Latvia,,,71,"50,000",Robin van Persie,4-3-3,Liran Liany
2015-03-28,20:45 (15:45),Euro Qualifying,Group stage,Sat,Home,D,1,1,tr Türkiye,,,66,"50,000",Wesley Sneijder,4-3-3,Felix Brych
2015-06-12,21:45 (14:45),Euro Qualifying,Group stage,Fri,Away,W,2,0,lv Latvia,,,64,"9,500",Robin van Persie,4-3-3,Svein Oddvar Moen
2015-09-03,20:45 (14:45),Euro Qualifying,Group stage,Thu,Home,L,0,1,is Iceland,,,66,"47,000",Arjen Robben,4-2-3-1,Milorad Mažić
2015-09-06,19:00 (12:00),Euro Qualifying,Group stage,Sun,Away,L,0,3,tr Türkiye,,,68,"41,007",Robin van Persie,4-3-2-1,Antonio Matéu Lahoz
2015-10-10,22:00 (12:00),Euro Qualifying,Group stage,Sat,Away,W,2,1,kz Kazakhstan,,,60,"20,716",Wesley Sneijder,4-3-3,Clément Turpin
2015-10-13,20:45 (14:45),Euro Qualifying,Group stage,Tue,Home,L,2,3,cz Czech Republic,,,60,"48,000",Wesley Sneijder,4-3-3,Damir Skomina
