Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2018-09-09,14:30 (07:30),Africa Cup of Nations qualification,Group stage,Sun,Away,D,2,2,mg Madagascar,,,,,Cheikhou Kouyaté,4-2-3-1,Joshua Bondo,Match Report,
2018-10-13,19:00 (15:00),Africa Cup of Nations qualification,Group stage,Sat,Home,W,3,0,sd Sudan,,,,,Cheikhou Kouyaté,4-2-3-1,Bamlak Tessema,Match Report,
2018-10-16,19:30 (13:30),Africa Cup of Nations qualification,Group stage,Tue,Away,W,1,0,sd Sudan,,,,,Cheikhou Kouyaté,4-2-2-2,Mustapha Ghorbal,Match Report,
2018-11-17,16:00 (10:00),Africa Cup of Nations qualification,Group stage,Sat,Away,W,1,0,gq Equ. Guinea,,,,,Cheikhou Kouyaté,4-1-4-1,Mahmoud Zakaria El Banna,Match Report,
2015-06-13,19:00 (15:00),Africa Cup of Nations qualification,Group stage,Sat,Home,W,3,1,bi Burundi,,,,,,,Mahamadou Keita,Match Report,
2015-09-05,14:30 (09:30),Africa Cup of Nations qualification,Group stage,Sat,Away,W,2,0,na Namibia,,,,,,,Wellington Kaoma,Match Report,
2016-03-26,19:00 (15:00),Africa Cup of Nations qualification,Group stage,Sat,Home,W,2,0,ne Niger,,,,,,,Mohamed Ragab Omar,Match Report,
2016-03-29,15:00 (10:00),Africa Cup of Nations qualification,Group stage,Tue,Away,W,2,1,ne Niger,,,,,,,Mohamed Benouza,Match Report,
2016-06-04,15:00 (09:00),Africa Cup of Nations qualification,Group stage,Sat,Away,W,2,0,bi Burundi,,,,,,,Bernard Camille,Match Report,
2016-09-03,17:30 (13:30),Africa Cup of Nations qualification,Group stage,Sat,Home,W,2,0,na Namibia,,,,,,,,Match Report,
2017-01-08,15:30 (09:30),Friendlies (M),Friendlies (M),Sun,Neutral,W,2,1,ly Libya,,,,,Kara Mbodji,4-2-3-1,Messie Nkounkou,Match Report,
2017-01-11,15:30 (09:30),Friendlies (M),Friendlies (M),Wed,Away,W,2,0,cg Congo,,,,,Cheikhou Kouyaté,4-2-3-1,Yannick Malala Kabanga,Match Report,
2017-01-15,20:00 (14:00),Africa Cup of Nations,Group stage,Sun,Away,W,2,0,tn Tunisia,,,44,,Cheikhou Kouyaté,4-2-3-1,Alioum Alioum,Match Report,
2017-01-19,20:00 (14:00),Africa Cup of Nations,Group stage,Thu,Home,W,2,0,zw Zimbabwe,,,58,,Cheikhou Kouyaté,4-2-3-1,Rédouane Jiyed,Match Report,
2017-01-23,20:00 (14:00),Africa Cup of Nations,Group stage,Mon,Home,D,2,2,dz Algeria,,,42,,Kara Mbodji,4-2-3-1,Joshua Bondo,Match Report,
2017-01-28,20:00 (14:00),Africa Cup of Nations,Quarter-finals,Sat,Home,D,0 (4),0 (5),cm Cameroon,,,61,,Cheikhou Kouyaté,4-2-3-1,Janny Sikazwe,Match Report,Cameroon won on penalty kicks following extra time
2017-03-23,20:00 (16:00),Friendlies (M),Friendlies (M),Thu,Away,D,1,1,ng Nigeria,,,,"2,013",Cheikhou Kouyaté,4-1-4-1,Anthony Taylor,Match Report,
2017-06-05,20:00 (16:00),Friendlies (M),Friendlies (M),Mon,Home,D,0,0,ug Uganda,,,,,Kara Mbodji,4-4-2,Omar Sallah,Match Report,
2017-06-10,21:00 (17:00),Africa Cup of Nations qualification,Group stage,Sat,Home,W,3,0,gq Equ. Guinea,,,,"1,652",Kara Mbodji,4-4-2,Rédouane Jiyed,Match Report,
2017-09-02,20:00 (16:00),WCQ,Third round,Sat,Home,D,0,0,bf Burkina Faso,,,,,Kara Mbodji,,Joshua Bondo,Match Report,
2017-09-05,18:00 (14:00),WCQ,Third round,Tue,Away,D,2,2,bf Burkina Faso,,,,,Cheikhou Kouyaté,,Janny Sikazwe,Match Report,
2017-10-07,16:30 (13:30),WCQ,Third round,Sat,Away,W,2,0,cv Cape Verde,,,,,Cheikhou Kouyaté,,Gehad Grisha,Match Report,
2017-11-10,19:00 (12:00),WCQ,Third round,Fri,Away,W,2,0,za South Africa,,,,,Cheikhou Kouyaté,,Joseph Odartei Lamptey,Match Report,
2017-11-14,19:30 (14:30),WCQ,Third round,Tue,Home,W,2,1,za South Africa,,,,,Cheikhou Kouyaté,,Bamlak Tessema,Match Report,
2016-02-10,20:36,Friendlies (M),Friendlies (M),Wed,Away,L,0,2,mx Mexico,,,,"15,588",,,Jair Marrufo,Match Report,
2016-03-26,19:00 (15:00),Africa Cup of Nations qualification,Group stage,Sat,Home,W,2,0,ne Niger,,,,,,,Mohamed Ragab Omar,Match Report,
2016-03-29,15:00 (10:00),Africa Cup of Nations qualification,Group stage,Tue,Away,W,2,1,ne Niger,,,,,,,Mohamed Benouza,Match Report,
2016-05-28,15:30 (09:30),Friendlies (M),Friendlies (M),Sat,Away,W,2,0,rw Rwanda,,,,"12,000",,,Anthony Ogwayo,Match Report,
2016-06-04,15:00 (09:00),Africa Cup of Nations qualification,Group stage,Sat,Away,W,2,0,bi Burundi,,,,,,,Bernard Camille,Match Report,
2016-09-03,17:30 (13:30),Africa Cup of Nations qualification,Group stage,Sat,Home,W,2,0,na Namibia,,,,,,,,Match Report,
2016-10-08,20:00 (16:00),WCQ,Third round,Sat,Home,W,2,0,cv Cape Verde,,,,"60,000",Cheikhou Kouyaté,,Youssef Essrairi,Match Report,
2014-09-05,20:00 (16:00),Africa Cup of Nations qualification,Group stage,Fri,Home,W,2,0,eg Egypt,,,,,Bouna Coundoul,,Koman Coulibaly,Match Report,
2014-09-10,19:00 (13:00),Africa Cup of Nations qualification,Group stage,Wed,Away,W,2,0,bw Botswana,,,,,Bouna Coundoul,,Janny Sikazwe,Match Report,
2014-10-10,20:00 (16:00),Africa Cup of Nations qualification,Group stage,Fri,Home,D,0,0,tn Tunisia,,,,,Mohamed Diamé,,Eric Otogo-Castane,Match Report,
2014-10-15,20:15 (15:15),Africa Cup of Nations qualification,Group stage,Wed,Away,L,0,1,tn Tunisia,,,,,Mohamed Diamé,,Rajindraparsad Seechurn,Match Report,
2014-11-15,19:00 (12:00),Africa Cup of Nations qualification,Group stage,Sat,Away,W,1,0,eg Egypt,,,,,Bouna Coundoul,,Alioum Alioum,Match Report,
2014-11-19,19:00 (14:00),Africa Cup of Nations qualification,Group stage,Wed,Home,W,3,0,bw Botswana,,,,,Bouna Coundoul,,Mehdi Abid Charef,Match Report,
2015-01-09,15:30 (10:30),Friendlies (M),Friendlies (M),Fri,Home,W,1,0,ga Gabon,,,,150,,,,Match Report,
2015-01-13,15:30 (10:30),Friendlies (M),Friendlies (M),Tue,Home,W,5,2,gn Guinea,,,,200,,,Mounir Mabrouk,Match Report,
2015-01-19,17:00 (11:00),Africa Cup of Nations,Group stage,Mon,Away,W,2,1,gh Ghana,,,61,"13,569",,,Bernard Camille,Match Report,
2015-01-23,20:00 (14:00),Africa Cup of Nations,Group stage,Fri,Away,D,1,1,za South Africa,,,55,"13,674",,,Bouchaab Lemghaifry,Match Report,
