Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee
2021-06-04,19:30 (13:30),Friendlies (M),Friendlies (M),Fri,Away,D,0,0,es Spain,,,,,Cristiano Ronaldo,4-1-4-1,Craig Pawson
2021-06-09,19:45 (14:45),Friendlies (M),Friendlies (M),Wed,Home,W,4,0,il Israel,,,,,Cristiano Ronaldo,4-1-4-1,Jérémie Pignard
2021-06-15,18:00 (12:00),UEFA Euro,Group stage,Tue,Neutral,W,3,0,hu Hungary,,,69,"55,662",Cristiano Ronaldo,4-2-3-1,Cüneyt Çakιr
2021-06-19,18:00 (12:00),UEFA Euro,Group stage,Sat,Neutral,L,2,4,de Germany,,,43,"12,926",Cristiano Ronaldo,4-1-4-1,Anthony Taylor
2021-06-23,21:00 (15:00),UEFA Euro,Group stage,Wed,Neutral,D,2,2,fr France,,,48,"54,886",Cristiano Ronaldo,4-1-4-1,Antonio Matéu Lahoz
2021-06-27,21:00 (15:00),UEFA Euro,Round of 16,Sun,Neutral,L,0,1,be Belgium,,,57,"11,504",Cristiano Ronaldo,4-3-3,Felix Brych
2020-09-05,19:45 (14:45),UEFA Nations League,League A,Sat,Home,W,4,1,hr Croatia,,,57,,João Moutinho,4-3-3,Davide Massa
2020-09-08,20:45 (14:45),UEFA Nations League,League A,Tue,Away,W,2,0,se Sweden,,,67,,Cristiano Ronaldo,4-3-3,Danny Makkelie
2020-10-07,19:45 (14:45),Friendlies (M),Friendlies (M),Wed,Home,D,0,0,es Spain,,,,,Cristiano Ronaldo,4-3-3,Paolo Valeri
2020-10-11,20:45 (14:45),UEFA Nations League,League A,Sun,Away,D,0,0,fr France,,,51,"1,000",Cristiano Ronaldo,4-3-3,Carlos del Cerro
2020-10-14,19:45 (14:45),UEFA Nations League,League A,Wed,Home,W,3,0,se Sweden,,,49,"5,000",Pepe,4-1-4-1,Srđan Jovanović
2020-11-11,19:45 (14:45),Friendlies (M),Friendlies (M),Wed,Home,W,7,0,ad Andorra,,,,,João Moutinho,4-1-4-1,Alain Bieri
2020-11-14,19:45 (14:45),UEFA Nations League,League A,Sat,Home,L,0,1,fr France,,,50,,Cristiano Ronaldo,4-2-3-1,Tobias Stieler
2020-11-17,20:45 (14:45),UEFA Nations League,League A,Tue,Away,W,3,2,hr Croatia,,,60,,Cristiano Ronaldo,4-3-3,Michael Oliver
2018-09-06,19:45 (14:45),Friendlies (M),Friendlies (M),Thu,Home,D,1,1,hr Croatia,,,,"26,356",Pepe,4-1-4-1,Javier Estrada
2018-09-10,19:45 (14:45),UEFA Nations League,League A,Mon,Home,W,1,0,it Italy,,,,"52,635",Pepe,4-3-3,William Collum
2018-10-11,20:45 (14:45),UEFA Nations League,League A,Thu,Away,W,3,2,pl Poland,,,,"48,783",Pepe,4-3-3,Juan Martínez
2018-10-14,17:00 (12:00),Friendlies (M),Friendlies (M),Sun,Away,W,3,1,sct Scotland,,,,"25,000",Beto,4-1-4-1,Ruddy Buquet
2018-11-17,20:45 (14:45),UEFA Nations League,League A,Sat,Away,D,0,0,it Italy,,,,"73,000",Rui Patrício,4-3-3,Danny Makkelie
2018-11-20,19:45 (14:45),UEFA Nations League,League A,Tue,Home,D,1,1,pl Poland,,,,"29,917",Pepe,4-4-2,Sergey Karasev
2019-03-22,19:45 (15:45),UEFA Euro Qualifying,Group stage,Fri,Home,D,0,0,ua Ukraine,,,59,"58,355",Cristiano Ronaldo,4-1-4-1,Clément Turpin
2019-03-25,19:45 (15:45),UEFA Euro Qualifying,Group stage,Mon,Home,D,1,1,rs Serbia,,,70,"50,342",Cristiano Ronaldo,4-3-3,Szymon Marciniak
2019-06-05,19:45 (14:45),UEFA Nations League,Semi-finals,Wed,Neutral,W,3,1,ch Switzerland,,,,"42,415",Cristiano Ronaldo,4-4-2,Christian Dingert
2019-06-09,19:45 (14:45),UEFA Nations League,Final,Sun,Neutral,W,1,0,nl Netherlands,,,,"43,199",Cristiano Ronaldo,4-3-3,Alberto Undiano
2016-09-06,20:45 (14:45),WCQ,First round,Tue,Away,L,0,2,ch Switzerland,,,,"36,000",Nani,4-3-3,Antonio Matéu Lahoz
2016-10-07,19:45 (14:45),WCQ,First round,Fri,Home,W,6,0,ad Andorra,,,,"25,120",Cristiano Ronaldo,4-4-2,Oliver Drachta
2016-10-10,19:45 (14:45),WCQ,First round,Mon,Away,W,6,0,fo Faroe Islands,,,,"4,780",Cristiano Ronaldo,4-4-2,Gediminas Mažeika
2016-11-13,19:45 (14:45),WCQ,First round,Sun,Home,W,4,1,lv Latvia,,,,"20,744",Cristiano Ronaldo,4-5-1,Bobby Madden
2017-03-25,19:45 (15:45),WCQ,First round,Sat,Home,W,3,0,hu Hungary,,,,"57,816",Cristiano Ronaldo,4-3-3,Szymon Marciniak
2017-06-09,21:45 (14:45),WCQ,First round,Fri,Away,W,3,0,lv Latvia,,,,"8,179",Cristiano Ronaldo,4-3-3,István Kovács
2017-08-31,19:45 (14:45),WCQ,First round,Thu,Home,W,5,1,fo Faroe Islands,,,,"25,087",Cristiano Ronaldo,4-2-2-2,Srđan Jovanović
2017-09-03,20:45 (14:45),WCQ,First round,Sun,Away,W,1,0,hu Hungary,,,,"21,800",Cristiano Ronaldo,4-4-2,Danny Makkelie
2017-10-07,20:45 (14:45),WCQ,First round,Sat,Away,W,2,0,ad Andorra,,,,"3,193",Pepe,4-4-1-1,Miroslav Zelinka
2017-10-10,19:45 (14:45),WCQ,First round,Tue,Home,W,2,0,ch Switzerland,,,,"61,566",Cristiano Ronaldo,4-4-2,Cüneyt Çakιr
2018-03-23,20:45 (15:45),Friendlies (M),Friendlies (M),Fri,Home,W,2,1,eg Egypt,,,,,Cristiano Ronaldo,4-4-2,Paolo Mazzoleni
2018-03-26,20:30 (14:30),Friendlies (M),Friendlies (M),Mon,Home,L,0,3,nl Netherlands,,,,,Cristiano Ronaldo,4-4-1-1,Ruddy Buquet
2018-05-28,19:45 (14:45),Friendlies (M),Friendlies (M),Mon,Home,D,2,2,tn Tunisia,,,,"17,220",Pepe,4-1-4-1,Luca Banti
2018-06-02,20:45 (14:45),Friendlies (M),Friendlies (M),Sat,Away,D,0,0,be Belgium,,,,"45,000",João Moutinho,4-1-4-1,Viktor Kassai
2018-06-07,20:15 (15:15),Friendlies (M),Friendlies (M),Thu,Home,W,3,0,dz Algeria,,,,"53,014",Cristiano Ronaldo,4-2-2-2,Craig Pawson
2018-06-15,21:00 (14:00),FIFA World Cup,Group stage,Fri,Neutral,D,3,3,es Spain,1.2,1.6,34,"43,866",Cristiano Ronaldo,4-4-2,Gianluca Rocchi
2018-06-20,15:00 (08:00),FIFA World Cup,Group stage,Wed,Neutral,W,1,0,ma Morocco,1.2,0.9,45,"78,011",Cristiano Ronaldo,4-4-2,Mark Geiger
2018-06-25,21:00 (14:00),FIFA World Cup,Group stage,Mon,Neutral,D,1,1,ir IR Iran,1.3,1.4,73,"41,685",Cristiano Ronaldo,4-4-2,Enrique Cáceres
2018-06-30,21:00 (14:00),FIFA World Cup,Round of 16,Sat,Neutral,L,1,2,uy Uruguay,1.0,0.6,67,"44,287",Cristiano Ronaldo,4-4-2,César Arturo Ramos
2018-09-06,19:45 (14:45),Friendlies (M),Friendlies (M),Thu,Home,D,1,1,hr Croatia,,,,"26,356",Pepe,4-1-4-1,Javier Estrada
2018-09-10,19:45 (14:45),UEFA Nations League,League A,Mon,Home,W,1,0,it Italy,,,,"52,635",Pepe,4-3-3,William Collum
2018-10-11,20:45 (14:45),UEFA Nations League,League A,Thu,Away,W,3,2,pl Poland,,,,"48,783",Pepe,4-3-3,Juan Martínez
2018-10-14,17:00 (12:00),Friendlies (M),Friendlies (M),Sun,Away,W,3,1,sct Scotland,,,,"25,000",Beto,4-1-4-1,Ruddy Buquet
2018-11-17,20:45 (14:45),UEFA Nations League,League A,Sat,Away,D,0,0,it Italy,,,,"73,000",Rui Patrício,4-3-3,Danny Makkelie
2018-11-20,19:45 (14:45),UEFA Nations League,League A,Tue,Home,D,1,1,pl Poland,,,,"29,917",Pepe,4-4-2,Sergey Karasev
2017-03-25,19:45 (15:45),WCQ,First round,Sat,Home,W,3,0,hu Hungary,,,,"57,816",Cristiano Ronaldo,4-3-3,Szymon Marciniak
2017-03-28,19:45 (14:45),Friendlies (M),Friendlies (M),Tue,Home,L,2,3,se Sweden,,,,"10,800",Cristiano Ronaldo,4-3-3,Clément Turpin
2017-06-03,16:00 (11:00),Friendlies (M),Friendlies (M),Sat,Home,W,4,0,cy Cyprus,,,,"5,128",Nani,4-1-4-1,Davide Massa
2017-06-09,21:45 (14:45),WCQ,First round,Fri,Away,W,3,0,lv Latvia,,,,"8,179",Cristiano Ronaldo,4-3-3,István Kovács
2017-06-18,18:00 (11:00),FIFA Confederations Cup,Group stage,Sun,Neutral,D,2,2,mx Mexico,,,39,"34,372",Cristiano Ronaldo,4-3-3,Néstor Pitana
2017-06-21,18:00 (11:00),FIFA Confederations Cup,Group stage,Wed,Neutral,W,1,0,ru Russia,,,51,"42,759",Cristiano Ronaldo,4-4-2,Gianluca Rocchi
2017-06-24,18:00 (11:00),FIFA Confederations Cup,Group stage,Sat,Neutral,W,4,0,nz New Zealand,,,63,"56,290",Cristiano Ronaldo,4-4-2,Mark Geiger
